position_valid,std,x,y,z,distance_r0,distance_r1,distance_r2,distance_r3,nsd_r0,nsd_r1,nsd_r2,nsd_r3,rssi_r0,rssi_r1,rssi_r2,rssi_r3,valid_r0,valid_r1,valid_r2,valid_r3,timestamp
False,2.6182587146759033,7.01520299911499,2.5533249378204346,0.9998215436935425,-1,-1,-1,-1,-87.49542999267578,-100.36788940429688,-90.91195678710938,-98.60093688964844,-89.41900634765625,-94.13618469238281,-95.67814636230469,-92.15637969970703,0,0,0,0,1685982493.788379
True,1.716059923171997,6.859789848327637,2.4967591762542725,0.5346609354019165,8.02400016784668,7.3632001876831055,7.3632001876831055,7.693600177764893,-101.86200714111328,-101.98450469970703,-100.3168716430664,-101.70421600341797,-62.18531036376953,-57.74882507324219,-64.53473663330078,-66.55503845214844,1,1,1,1,1685982494.2944045
True,1.716059923171997,6.859789848327637,2.4967591762542725,0.5346609354019165,8.02400016784668,7.3632001876831055,7.3632001876831055,7.693600177764893,-101.86200714111328,-101.98450469970703,-100.3168716430664,-101.70421600341797,-62.18531036376953,-57.74882507324219,-64.53473663330078,-66.55503845214844,1,1,1,1,1685982494.800563
True,1.716059923171997,6.859789848327637,2.4967591762542725,0.5346609354019165,8.02400016784668,7.3632001876831055,7.3632001876831055,7.693600177764893,-101.86200714111328,-101.98450469970703,-100.3168716430664,-101.70421600341797,-62.18531036376953,-57.74882507324219,-64.53473663330078,-66.55503845214844,1,1,1,1,1685982495.306643
True,1.968277931213379,6.965874195098877,2.403088092803955,0.8281774520874023,8.071200370788574,7.410399913787842,7.410399913787842,7.693600177764893,-71.94361877441406,-66.13253021240234,-64.23980712890625,-83.32518768310547,-61.752960205078125,-59.44903564453125,-61.671382904052734,-68.64807891845703,1,1,1,1,1685982495.8123899
True,1.7027959823608398,6.941473007202148,2.5107874870300293,0.48870405554771423,8.165599822998047,7.504799842834473,7.504799842834473,7.788000106811523,-69.26654052734375,-73.8608169555664,-65.0184555053711,-68.15098571777344,-61.58909606933594,-60.47063446044922,-61.37800216674805,-68.1031723022461,1,1,1,1,1685982496.3184502
True,1.6987957954406738,6.898481369018555,2.5091512203216553,0.5336099863052368,8.118399620056152,7.457600116729736,7.457600116729736,7.740799903869629,-103.5250473022461,-101.92920684814453,-101.34626007080078,-101.35094451904297,-63.98633575439453,-60.78529357910156,-60.2370719909668,-70.26229858398438,1,1,1,1,1685982496.8239908
True,1.6983342170715332,6.9433135986328125,2.4055895805358887,0.534539520740509,8.071200370788574,7.410399913787842,7.410399913787842,7.83519983291626,-65.2034912109375,-62.85852813720703,-62.07248306274414,-91.05260467529297,-63.91155242919922,-60.608787536621094,-61.61436080932617,-67.55790710449219,1,1,1,1,1685982497.3337402
True,1.6983342170715332,6.9433135986328125,2.4055895805358887,0.534539520740509,8.071200370788574,7.410399913787842,7.410399913787842,7.83519983291626,-65.2034912109375,-62.85852813720703,-62.07248306274414,-91.05260467529297,-63.91155242919922,-60.608787536621094,-61.61436080932617,-67.55790710449219,1,1,1,1,1685982497.8380306
True,1.6924690008163452,6.913791179656982,2.380779981613159,0.911997377872467,7.976799964904785,7.315999984741211,7.315999984741211,7.646399974822998,-65.76321411132812,-83.78926086425781,-70.18719482421875,-79.4416732788086,-62.99061584472656,-59.198726654052734,-62.684574127197266,-66.24197387695312,1,1,1,1,1685982498.3449984
